truncate,Year,Price_Level,Like,textsm__divcontains_class_truncate,Price,Mileage,Discount,Certification,Color,Circumstance
Toyota Prius,2011,Great Price,Three,$260 off avg. list price,"$10,898 ","142,108 miles",,,"Black exterior, Gray interior","No accidents, 2 Owners, Personal use"
Chevrolet Tahoe,2015,Great Price,LTZ RWD,$86 off avg. list price,"$27,978 ","95,194 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 4 Owners, Personal use"
Hyundai Sonata,2019,Excellent Price,Plug-In Hybrid Limited,"$2,248 off avg. list price","$22,481 ","87,391 miles",,,"Black exterior, Gray interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz GLC,2021,Fair Price,GLC 300 SUV RWD,At or near avg. list price,"$41,894 ","9,876 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model S,2019,Excellent Price,100D,"$2,240 off avg. list price","$69,998 ","13,338 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
GMC Terrain,2019,Great Price,SLE FWD,$179 off avg. list price,"$23,775 ","21,401 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota 4Runner,2022,Great Price,Limited RWD,"$1,014 off avg. list price","$45,776 ","21,500 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Camry,2020,Great Price,SE FWD Automatic,$79 off avg. list price,"$26,499 ","23,044 miles",,,"Gray exterior, Unknown interior","1 accident, 1 Owner, Personal use"
Kia Soul,2016,Excellent Price,#NAME?,$400 off avg. list price,"$12,250 ","74,153 miles",,,"Red exterior, Black interior","No accidents, 2 Owners, Personal use"
Volkswagen Atlas,2021,Excellent Price,2021.5 3.6L V6 SEL Premium 4MOTION,"$1,349 off avg. list price","$40,893 ","16,651 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Mazda CX-5,2019,Great Price,Grand Touring FWD,$280 off avg. list price,"$27,998 ","25,492 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLA,2019,Great Price,GLA 250 FWD,$546 off avg. list price,"$27,892 ","28,213 miles",,Certified Pre-Owned,"Red exterior, Beige interior","No accidents, 1 Owner, Personal use"
Volkswagen Tiguan,2020,Great Price,2.0T SE FWD,$229 off avg. list price,"$24,998 ","39,375 miles",,,"Silver exterior, Black interior","No accidents, 2 Owners, Personal use"
Chevrolet Traverse,2020,Great Price,Premier FWD,$378 off avg. list price,"$34,995 ","62,882 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
INFINITI QX30,2018,Great Price,Premium FWD,$100 off avg. list price,"$24,964 ","21,816 miles",,Certified Pre-Owned,"Silver exterior, Beige interior","No accidents, 2 Owners, Personal use"
Chevrolet Suburban,2018,Excellent Price,LT RWD,"$1,116 off avg. list price","$32,995 ","71,975 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota RAV4,2019,Fair Price,XLE FWD,At or near avg. list price,"$30,998 ","15,531 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
MINI Hardtop,2013,Excellent Price,Hardtop 2-Door,$309 off avg. list price,"$7,998 ","90,562 miles",,,"White exterior, Black interior","No accidents, 3 Owners, Fleet use"
Mercedes-Benz C-Class,2018,Excellent Price,C 300 Sedan RWD,"$1,122 off avg. list price","$21,997 ","84,400 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Camry,2019,Fair Price,SE Automatic,At or near avg. list price,"$22,900 ","75,621 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Acura RDX,2014,Excellent Price,AWD,$864 off avg. list price,"$15,998 ","109,390 miles",,,"Silver exterior, Black interior","No accidents, 3 Owners, Personal use"
Toyota Camry Solara,2004,Excellent Price,SLE V6 Coupe Automatic,"$1,172 off avg. list price","$9,997 ","77,998 miles",,,"Blue exterior, Gray interior","No accidents, 1 Owner, Personal use"
Mazda CX-5,2020,Great Price,Touring AWD,$459 off avg. list price,"$21,950 ","45,373 miles",,,"Black exterior, Black interior","1 accident, 2 Owners, Personal use"
Ford Focus,2017,Great Price,RS Hatchback,$541 off avg. list price,"$28,450 ","96,449 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Toyota Camry,2018,Great Price,SE I4 Automatic,$160 off avg. list price,"$22,895 ","58,555 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Accord,2018,Great Price,Touring 1.5T CVT,$548 off avg. list price,"$26,085 ","43,514 miles",,,"Black exterior, Beige interior","No accidents, 1 Owner, Personal use"
Hyundai Elantra,2020,Fair Price,SEL IVT (SULEV),$77 above avg. list price,"$18,495 ","62,191 miles",Dealer Discount Available,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Fleet use"
Honda Civic,2018,Great Price,LX Sedan CVT,$244 off avg. list price,"$19,699 ","35,575 miles",,,"White exterior, Beige interior","1 accident, 3 Owners, Personal use"
BMW i3,2015,Great Price,60 Ah with Range Extender,$418 off avg. list price,"$16,550 ","64,630 miles",,,"White exterior, Brown interior","No accidents, 3 Owners, Personal use"
Mercedes-Benz CLS,2014,Excellent Price,CLS 550 RWD,$968 off avg. list price,"$18,997 ","101,755 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Kia Optima,2015,Fair Price,LX,At or near avg. list price,"$14,998 ","90,820 miles",,,"Silver exterior, Gray interior","No accidents, 1 Owner, Personal use"
Honda Civic,2017,Excellent Price,Si Sedan Manual,$765 off avg. list price,"$22,499 ","67,878 miles",,,"Silver exterior, Black interior","No accidents, 2 Owners, Fleet use"
GMC Yukon,2004,Excellent Price,SLT RWD,$356 off avg. list price,"$5,950 ","246,552 miles",,,"White exterior, Unknown interior","No accidents, 3 Owners, Personal use"
Jeep Wrangler,2012,Great Price,Rubicon 4WD,$377 off avg. list price,"$20,998 ","128,254 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Porsche 911,2019,Great Price,Carrera T,"$2,448 off avg. list price","$111,894 ","10,671 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Nissan Altima,2022,Great Price,2.5 SR FWD,$87 off avg. list price,"$26,695 ","5,919 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Lexus CT,2013,Great Price,CT 200h,$473 off avg. list price,"$18,498 ","74,935 miles",,,"Silver exterior, White interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz GLS,2018,Excellent Price,GLS 63 AMG 4MATIC,"$2,306 off avg. list price","$69,891 ","36,219 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Ford Edge,2019,Great Price,SEL FWD,$463 off avg. list price,"$22,897 ","46,010 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
BMW X3,2019,Great Price,sDrive30i RWD,$96 off avg. list price,"$32,115 ","27,406 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mazda Mazda3,2013,Great Price,i SV 4-Door Manual,$294 off avg. list price,"$9,998 ","77,287 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Chevrolet Silverado 1500,2014,Fair Price,LT with 1LT Crew Cab Short Box 2WD,At or near avg. list price,"$17,995 ","181,689 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Nissan LEAF,2019,Great Price,SV PLUS,$579 off avg. list price,"$29,966 ","6,203 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Sienna,2006,Excellent Price,CE FWD Cargo Van,$606 off avg. list price,"$7,995 ","139,161 miles",Dealer Discount Available,,"Silver exterior, Gray interior","1 accident, 1 Owner, Personal use"
Toyota Corolla,2016,Excellent Price,L Automatic,"$1,283 off avg. list price","$11,950 ","106,029 miles",,,"Silver exterior, Gray interior","1 accident, 2 Owners, Personal use"
BMW 3 Series,2014,Excellent Price,328i Sedan (SULEV),"$1,168 off avg. list price","$12,490 ","90,886 miles",,,"Black exterior, Beige interior","No accidents, 5 Owners, Personal use"
Porsche Macan,2016,Excellent Price,S AWD,"$1,041 off avg. list price","$31,134 ","66,835 miles",,,"White exterior, Brown interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz S-Class,2019,Great Price,AMG S 63 Sedan 4MATIC+,"$2,176 off avg. list price","$98,891 ","41,818 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Volvo XC90,2019,Great Price,T6 Momentum AWD,$72 off avg. list price,"$35,998 ","61,324 miles",,,"Black exterior, Brown interior","No accidents, 1 Owner, Personal use"
Ford F-150,2016,Great Price,XL SuperCrew 5.5' Box RWD,$43 off avg. list price,"$24,266 ","85,006 miles",,,"White exterior, Gray interior","No accidents, 3 Owners, Personal use"
Mercedes-Benz E-Class,2020,Great Price,E 350 Sedan RWD,$469 off avg. list price,"$42,998 ","13,224 miles",,,"Gray exterior, Unknown interior","No accidents, 1 Owner, Personal use"
BMW X5,2012,Excellent Price,xDrive35i Premium AWD,$725 off avg. list price,"$9,998 ","130,572 miles",,,"Gray exterior, Beige interior","1 accident, 3 Owners, Personal use"
Audi A8,2016,Excellent Price,L 3.0S,"$1,470 off avg. list price","$34,998 ","46,795 miles",,,"Silver exterior, Gray interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz GLC,2020,Fair Price,GLC 300 SUV RWD,At or near avg. list price,"$34,781 ","22,213 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Kia Forte,2015,Excellent Price,LX Sedan Automatic,$431 off avg. list price,"$11,332 ","80,043 miles",,,"Gray exterior, Black interior","No accidents, 3 Owners, Personal use"
Acura MDX,2016,Great Price,SH-AWD with Advance/Entertainment Package,$809 off avg. list price,"$28,893 ","38,601 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Fleet use"
FIAT 500e,2015,Excellent Price,500e Hatchback,"$1,025 off avg. list price","$12,200 ","40,572 miles",,,"Gray exterior, Black interior","No accidents, 3 Owners, Fleet use"
Chevrolet Volt,2013,Great Price,Hatch,$226 off avg. list price,"$10,498 ","102,989 miles",,,"Gray exterior, Black interior","No accidents, 3 Owners, Fleet use"
BMW 3 Series,2021,Great Price,M340i xDrive,$506 off avg. list price,"$51,302 ","19,532 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Toyota RAV4,2004,Excellent Price,4WD Automatic,$255 off avg. list price,"$4,999 ","197,960 miles",,,"White exterior, Beige interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz S-Class,2020,Excellent Price,AMG S 63 Sedan 4MATIC+,"$3,824 off avg. list price","$115,893 ","39,573 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz C-Class,2017,Great Price,C 300 Sedan RWD,$393 off avg. list price,"$20,679 ","85,570 miles",,,"White exterior, Black interior","No accidents, 3 Owners, Fleet use"
BMW X5,2022,Great Price,sDrive40i,$98 off avg. list price,"$58,974 ","5,211 miles",,,"Green exterior, Beige interior","No accidents, 1 Owner, Personal use"
Toyota 4Runner,2018,Great Price,TRD Off Road 4WD,$557 off avg. list price,"$39,998 ","22,650 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Tundra,2017,Excellent Price,SR5 Double Cab 6.5' Bed 5.7L V8 RWD,$995 off avg. list price,"$25,900 ","97,338 miles",,,"Silver exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Chevrolet Cruze Limited,2016,Great Price,Limited LT with 1LT Sedan AT,$90 off avg. list price,"$12,900 ","69,463 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Hyundai Sonata,2013,Great Price,Limited 2.4L,$302 off avg. list price,"$13,998 ","102,934 miles",,,"Red exterior, Brown interior","No accidents, 2 Owners, Personal use"
Acura RDX,2021,Great Price,FWD with Technology Package,$567 off avg. list price,"$37,488 ","14,553 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Maserati Levante,2019,Fair Price,SUV,At or near avg. list price,"$44,991 ","28,916 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz GLC,2022,Great Price,GLC 300 SUV RWD,$962 off avg. list price,"$45,800 ","9,019 miles",,,"Silver exterior, Beige interior","No accidents, 1 Owner, Personal use"
Honda Civic,2013,Excellent Price,LX Sedan Automatic,$823 off avg. list price,"$11,790 ","102,286 miles",,,"Gray exterior, Gray interior","No accidents, 2 Owners, Personal use"
Jeep Wrangler,2011,Excellent Price,Rubicon 4WD,$922 off avg. list price,"$16,499 ","110,000 miles",,,"Red exterior, Black interior","No accidents, 2 Owners, Personal use"
BMW X7,2020,Great Price,M50i,"$1,330 off avg. list price","$80,894 ","14,557 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Odyssey,2015,Great Price,EX,$431 off avg. list price,"$18,998 ","88,140 miles",,,"Gray exterior, Gray interior","No accidents, 2 Owners, Personal use"
Lexus RX,2017,Great Price,RX 350 AWD,$813 off avg. list price,"$28,997 ","81,394 miles",Dealer Discount Available,,"White exterior, Brown interior","No accidents, 2 Owners, Personal use"
Jeep Wrangler,2019,Great Price,Unlimited Rubicon,$160 off avg. list price,"$47,557 ","11,206 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model Y,2022,Fair Price,Long Range AWD,At or near avg. list price,"$67,499 ",75 miles,,,"Black exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Mazda Mazda3,2011,Excellent Price,s Sport 5-Door Automatic,$382 off avg. list price,"$7,499 ","157,855 miles",Dealer Discount Available,,"Blue exterior, Black interior","No accidents, 2 Owners, Personal use"
Volkswagen Tiguan,2016,Excellent Price,S FWD Auto,$457 off avg. list price,"$13,550 ","85,360 miles",,,"White exterior, Black interior","No accidents, 4 Owners, Personal use"
Tesla Model 3,2021,Fair Price,Standard Range Plus RWD,At or near avg. list price,"$48,499 ","20,224 miles",,,"White exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Toyota Prius v,2012,Fair Price,Two,At or near avg. list price,"$12,799 ","150,764 miles",,,"Black exterior, Beige interior","No accidents, 3 Owners, Personal use"
BMW 5 Series,2014,Excellent Price,528i Sedan,$384 off avg. list price,"$11,498 ","115,944 miles",,,"Silver exterior, White interior","2 accidents, 2 Owners, Personal use"
Toyota RAV4,2017,Great Price,XLE FWD,$599 off avg. list price,"$21,390 ","68,582 miles",,,"Gray exterior, Gray interior","No accidents, 1 Owner, Personal use"
Honda Odyssey,2015,Great Price,Touring,$135 off avg. list price,"$22,450 ","78,675 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
Scion tC,2015,Excellent Price,Base Automatic,"$1,403 off avg. list price","$8,999 ","142,642 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 1 Owner, Fleet use"
Toyota RAV4,2019,Great Price,Limited FWD,$340 off avg. list price,"$33,998 ","21,510 miles",,,"Blue exterior, Brown interior","No accidents, 1 Owner, Personal use"
Mazda Mazda3,2019,Fair Price,Preferred 5-Door FWD Automatic,At or near avg. list price,"$20,500 ","98,391 miles",,,"Blue exterior, Black interior","No accidents, 2 Owners, Personal use"
Kia Optima,2014,Excellent Price,SX Turbo,$932 off avg. list price,"$11,988 ","102,944 miles",Dealer Discount Available,,"Gray exterior, Black interior","3 accidents, 1 Owner, Personal use"
Toyota Highlander,2015,Great Price,Limited V6 FWD,$603 off avg. list price,"$23,995 ","82,449 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Honda Civic,2012,Great Price,Si Sedan Manual,$358 off avg. list price,"$12,897 ","129,989 miles",,,"Black exterior, Black interior","No accidents, 3 Owners, Personal use"
Ford Thunderbird,2004,Great Price,2dr Convertible Deluxe,$164 off avg. list price,"$17,986 ","40,616 miles",,,"Maroon exterior, Black interior","No accidents, 2 Owners, Personal use"
Ford Mustang,2014,Excellent Price,V6 Coupe,$472 off avg. list price,"$13,994 ","73,472 miles",,,"Black exterior, Black interior","No accidents, 5 Owners, Fleet use"
Mercedes-Benz C-Class,2021,Great Price,AMG C 43 Sedan 4MATIC,"$1,006 off avg. list price","$55,893 ","26,272 miles",,Certified Pre-Owned,"Black exterior, Red interior","No accidents, 1 Owner, Personal use"
Nissan LEAF,2012,Excellent Price,SL,$266 off avg. list price,"$7,998 ","64,240 miles",,,"White exterior, Gray interior","No accidents, 2 Owners, Personal use"
BMW X3,2019,Great Price,sDrive30i RWD,$401 off avg. list price,"$30,900 ","37,858 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz S-Class,2021,Great Price,S 580 Sedan 4MATIC,$649 off avg. list price,"$112,894 ",658 miles,,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLA,2019,Great Price,GLA 250 4MATIC,$41 off avg. list price,"$32,894 ","12,163 miles",,Certified Pre-Owned,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Ram 3500,2021,Great Price,Laramie Crew Cab 8' Box 4WD,"$1,848 off avg. list price","$76,998 ","9,949 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model X,2022,Excellent Price,Plaid,"$8,262 off avg. list price","$125,988 ",722 miles,Dealer Discount Available,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford Fusion,2019,Great Price,Hybrid SE FWD,$412 off avg. list price,"$22,516 ","32,050 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz C-Class,2021,Fair Price,C 300 Sedan RWD,At or near avg. list price,"$39,893 ","7,725 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Civic,2021,Excellent Price,Sport Sedan CVT,$751 off avg. list price,"$24,050 ","16,076 miles",,,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Mazda CX-9,2021,Excellent Price,Carbon Edition AWD,"$1,596 off avg. list price","$37,998 ","20,553 miles",,,"Gray exterior, Red interior","No accidents, 1 Owner, Personal use"
Toyota Corolla,2019,Great Price,SE CVT,$484 off avg. list price,"$21,998 ","30,950 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford Fusion,2019,Great Price,Energi Titanium FWD,$20 off avg. list price,"$25,538 ","30,950 miles",,,"Black exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Toyota Camry,2019,Excellent Price,LE Automatic,"$1,457 off avg. list price","$16,999 ","71,644 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
Tesla Model X,2016,Excellent Price,P90D,"$1,904 off avg. list price","$59,997 ","72,302 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 3 Owners, Fleet use"
Chevrolet Silverado 2500HD,2021,Great Price,High Country Crew Cab Standard Bed 4WD,$414 off avg. list price,"$68,995 ","25,508 miles",Dealer Discount Available,Certified Pre-Owned,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz E-Class,2019,Great Price,AMG E 53 4MATIC+ Cabriolet,$602 off avg. list price,"$72,894 ","18,681 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
BMW X1,2020,Great Price,sDrive28i FWD,$266 off avg. list price,"$29,685 ","21,263 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLE,2018,Great Price,GLE 350 SUV RWD,$381 off avg. list price,"$29,350 ","62,020 miles",,,"Blue exterior, Beige interior","No accidents, 2 Owners, Personal use"
Toyota Tacoma,2016,Excellent Price,SR5 Double Cab 5' Bed V6 RWD Automatic,"$1,104 off avg. list price","$22,999 ","140,511 miles",,,"Unknown exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Lexus GX,2007,Great Price,GX 470,$365 off avg. list price,"$17,997 ","139,526 miles",,,"White exterior, Beige interior","No accidents, 2 Owners, Personal use"
Ford Econoline Cargo Van,2006,Excellent Price,E-250 Recreational,$806 off avg. list price,"$10,896 ","123,777 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Nissan NV Cargo,2020,Great Price,NV2500 HD High Roof V6 SV,$367 off avg. list price,"$36,993 ","49,780 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 2 Owners, Fleet use"
Toyota Highlander,2021,Fair Price,XLE FWD,At or near avg. list price,"$40,792 ","9,513 miles",,Certified Pre-Owned,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
Jeep Patriot,2017,Great Price,Latitude FWD,$352 off avg. list price,"$15,998 ","75,905 miles",,,"White exterior, Gray interior","No accidents, 2 Owners, Personal use"
BMW X7,2020,Fair Price,xDrive40i,At or near avg. list price,"$64,595 ","26,461 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Tacoma,2017,Great Price,TRD Sport Double Cab 5' Bed V6 RWD Automatic,$412 off avg. list price,"$33,650 ","38,744 miles",Dealer Discount Available,,"Tan exterior, Gray interior","No accidents, 2 Owners, Personal use"
Mazda Mazda6,2017,Excellent Price,Touring Automatic,$742 off avg. list price,"$16,950 ","66,478 miles",,,"Red exterior, Black interior","No accidents, 2 Owners, Fleet use"
Toyota 4Runner,2019,Great Price,TRD Off Road Premium 4WD,$259 off avg. list price,"$36,998 ","65,795 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Mazda CX-5,2016,Great Price,Touring FWD Automatic,$224 off avg. list price,"$15,998 ","103,285 miles",,,"Blue exterior, Black interior","No accidents, 2 Owners, Personal use"
BMW X1,2015,Excellent Price,xDrive28i AWD,$450 off avg. list price,"$9,498 ","144,494 miles",,,"Blue exterior, Black interior","No accidents, 2 Owners, Personal use"
Tesla Model S,2021,Great Price,Plaid,"$1,681 off avg. list price","$105,995 ","13,499 miles",Dealer Discount Available,,"Blue exterior, Black interior","No accidents, 2 Owners, Fleet use"
Mercedes-Benz GLC,2019,Fair Price,GLC 300 RWD,At or near avg. list price,"$33,893 ","23,636 miles",,Certified Pre-Owned,"Silver exterior, Black interior","No accidents, 2 Owners, Personal use"
Jeep Grand Cherokee,2017,Fair Price,Limited RWD,At or near avg. list price,"$19,788 ","116,933 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Tesla Model 3,2021,Fair Price,Standard Range Plus RWD,At or near avg. list price,"$46,998 ","7,289 miles",,,"Red exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz AMG GT,2020,Great Price,AMG GT 53 4-Door Coupe,"$1,912 off avg. list price","$86,891 ","28,264 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Corolla,2006,Excellent Price,LE Automatic,$157 off avg. list price,"$3,989 ","242,250 miles",,,"Silver exterior, Unknown interior","1 accident, 2 Owners, Fleet use"
Chevrolet Tahoe,2019,Fair Price,Premier 4WD,At or near avg. list price,"$51,270 ","39,235 miles",Dealer Discount Available,Certified Pre-Owned,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Audi Q5,2013,Great Price,Premium Plus 2.0T quattro,$149 off avg. list price,"$11,160 ","133,278 miles",,,"Blue exterior, Beige interior","No accidents, 2 Owners, Personal use"
Toyota Camry,2013,Excellent Price,SE I4 Automatic,$592 off avg. list price,"$17,988 ","24,316 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Lexus RX,2007,Great Price,RX 350 FWD,$359 off avg. list price,"$11,999 ","83,210 miles",,,"Silver exterior, Gray interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLB,2022,Fair Price,GLB 250 FWD,At or near avg. list price,"$44,755 ","3,932 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Blazer,2022,Great Price,2LT FWD,$619 off avg. list price,"$31,995 ","4,387 miles",Dealer Discount Available,,"Red exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda CR-V,2020,Excellent Price,Touring FWD,"$1,044 off avg. list price","$28,997 ","23,097 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Toyota Corolla,2020,Fair Price,LE CVT,At or near avg. list price,"$20,499 ","50,809 miles",,,"Red exterior, Black interior","No accidents, 2 Owners, Fleet use"
Toyota RAV4,2021,Fair Price,Hybrid XLE AWD,At or near avg. list price,"$39,585 ","13,516 miles",,Certified Pre-Owned,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLB,2022,Fair Price,GLB 250 FWD,At or near avg. list price,"$43,520 ","5,808 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Corolla,2021,Great Price,SE CVT,$290 off avg. list price,"$24,191 ","12,734 miles",,,"Silver exterior, Gray interior","1 accident, 1 Owner, Personal use"
Hyundai Sonata,2014,Fair Price,GLS 2.4L Automatic (PZEV),At or near avg. list price,"$12,998 ","121,950 miles",,,"Black exterior, Gray interior","1 accident, 2 Owners, Personal use"
Nissan Frontier,2022,Great Price,PRO-4X Crew Cab 4WD,$441 off avg. list price,"$41,950 ","3,753 miles",Dealer Discount Available,,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Nissan Sentra,2020,Great Price,SR CVT,$467 off avg. list price,"$22,221 ","15,476 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model 3,2022,Great Price,Long Range AWD,$274 off avg. list price,"$54,799 ","1,607 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Toyota C-HR,2019,Great Price,XLE FWD,$100 off avg. list price,"$24,998 ","29,235 miles",,,"Blue exterior, Gray interior","No accidents, 2 Owners, Personal use"
INFINITI QX60,2014,Excellent Price,3.5 FWD,$948 off avg. list price,"$14,808 ","82,594 miles",,,"White exterior, Brown interior","2 accidents, 2 Owners, Personal use"
Toyota Tacoma,2020,Fair Price,SR5 Double Cab 5' Bed V6 4WD Automatic,At or near avg. list price,"$36,250 ","41,192 miles",,Certified Pre-Owned,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
Honda Accord,2016,Fair Price,Sport Sedan I4 CVT,At or near avg. list price,"$20,189 ","70,000 miles",,,"White exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Tesla Model 3,2019,Great Price,Long Range RWD,$423 off avg. list price,"$42,299 ","39,781 miles",,,"White exterior, Black interior","1 accident, 2 Owners, Fleet use"
Jeep Grand Cherokee,2012,Excellent Price,Laredo RWD,$455 off avg. list price,"$14,232 ","78,093 miles",,,"White exterior, Black interior","1 accident, 3 Owners, Personal use"
Mazda CX-5,2019,Fair Price,Touring FWD,$36 above avg. list price,"$24,227 ","65,962 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Volkswagen Tiguan,2012,Great Price,S FWD Auto,$269 off avg. list price,"$10,858 ","90,821 miles",,,"Silver exterior, Black interior","No accidents, 3 Owners, Personal use"
Mercedes-Benz CLS,2019,Great Price,CLS 450 Coupe,$748 off avg. list price,"$49,892 ","42,555 miles",,,"Black exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Jeep Patriot,2017,Excellent Price,Latitude FWD,$501 off avg. list price,"$10,498 ","109,155 miles",,,"White exterior, Gray interior","No accidents, 3 Owners, Fleet use"
Subaru Ascent,2020,Excellent Price,Limited 8-Passenger,"$1,087 off avg. list price","$30,199 ","26,403 miles",,,"Gray exterior, Gray interior","No accidents, 1 Owner, Personal use"
Subaru Crosstrek,2019,Great Price,2.0i Premium CVT,$26 off avg. list price,"$25,998 ","36,585 miles",,,"Red exterior, Black interior","No accidents, 1 Owner, Personal use"
