truncate,Year,Price_Level,Like,textsm__divcontains_class_truncate,Price,Mileage,Discount,Certification,Color,Circumstance
Toyota Tacoma,2019,High Price,TRD Off Road Double Cab 5' Bed V6 2WD Automatic,$952 above avg. list price,"$36,598 ","43,643 miles",,,"Gray exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Lexus RX,2010,Fair Price,RX 450h Hybrid FWD,At or near avg. list price,"$13,495 ","165,590 miles",,,"Unknown exterior, Black interior","No accidents, 3 Owners, Personal use"
Audi Q7,2021,Fair Price,Prestige 3.0,At or near avg. list price,"$65,995 ","11,096 miles",,,"White exterior, Beige interior","No accidents, 1 Owner, Personal use"
Land Rover Range Rover,2021,Fair Price,Westminster SWB,$215 above avg. list price,"$93,988 ","20,438 miles",Dealer Discount Available,,"Orange exterior, Beige interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz AMG GT,2020,Fair Price,AMG GT Coupe,At or near avg. list price,"$112,995 ","6,895 miles",,,"White exterior, Black interior","No accidents, 3 Owners, Personal use"
Nissan Sentra,2020,Fair Price,S CVT,At or near avg. list price,"$20,995 ","23,272 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz G-Class,2020,Fair Price,AMG G 63 4MATIC,At or near avg. list price,"$189,998 ","23,240 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Civic,2019,Fair Price,Sport Sedan CVT,$98 above avg. list price,"$25,351 ","24,414 miles",,Certified Pre-Owned,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Subaru Outback,2017,High Price,2.5i Premium,$561 above avg. list price,"$21,999 ","59,390 miles",,,"Red exterior, Beige interior","1 accident, 3 Owners, Fleet use"
Nissan Armada,2022,Fair Price,Platinum 2WD,$121 above avg. list price,"$60,299 ","8,021 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Acura MDX,2017,High Price,SH-AWD with Technology Package,"$1,133 above avg. list price","$32,379 ","45,467 miles",,,"Gray exterior, Gray interior","No accidents, 4 Owners, Personal use"
Chevrolet Camaro,2021,High Price,LT with 1LT Coupe,"$1,316 above avg. list price","$33,699 ","13,860 miles",,,"White exterior, Black interior","1 accident, 1 Owner, Personal use"
BMW 7 Series,2016,Fair Price,750i RWD,At or near avg. list price,"$34,000 ","71,201 miles",,,"Unknown exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Nissan Altima,2017,High Price,2.5 S,$353 above avg. list price,"$16,995 ","72,474 miles",Dealer Discount Available,,"Gray exterior, Black interior","1 accident, 3 Owners, Fleet use"
Toyota Corolla Hatchback,2021,Fair Price,SE CVT,At or near avg. list price,"$25,792 ","20,675 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Cadillac Escalade,2019,Fair Price,Premium Luxury 4WD,$348 above avg. list price,"$61,000 ","29,577 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Hyundai Elantra,2017,High Price,SE 2.0L Sedan Automatic (alt),$449 above avg. list price,"$15,888 ","64,996 miles",,,"Gray exterior, Gray interior","No accidents, 3 Owners, Personal use"
Hyundai Accent,2016,High Price,SE Sedan Automatic,$221 above avg. list price,"$12,488 ","86,703 miles",,,"Black exterior, Gray interior","1 accident, 2 Owners, Personal use"
Ford Fusion,2015,High Price,SE FWD,$433 above avg. list price,"$15,988 ","63,463 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Nissan Rogue,2016,High Price,S FWD,"$1,350 above avg. list price","$17,899 ","60,503 miles",,,"White exterior, Beige interior","No accidents, 1 Owner, Personal use"
Nissan Sentra,2021,Fair Price,SV CVT,At or near avg. list price,"$21,895 ","33,982 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Yaris,2019,Fair Price,XLE Auto,$212 above avg. list price,"$19,299 ","29,369 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Freightliner Sprinter Cargo Van,2019,High Price,"3500 High Roof V6 170"" Extended RWD","$1,183 above avg. list price","$70,000 ","10,800 miles",,,"White exterior, Unknown interior","No accidents, 0 Owners, Personal use"
Mercedes-Benz GLS,2021,Fair Price,GLS 580 4MATIC,At or near avg. list price,"$96,937 ","16,510 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Volkswagen ID.4,2022,Fair Price,Pro S RWD,$38 above avg. list price,"$51,988 ",168 miles,Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
